,chou_fasman,emini,kolaskar_tongaonkar,parker,isoelectric_point,aromaticity,hydrophobicity,stability,length,target
0,1.016,0.703,1.018,2.22,5.81036376953125,0.1032745591939546,-0.1438287153652394,40.27329974811083,5,1
1,0.77,0.179,1.199,-3.86,6.21087646484375,0.0654761904761904,-0.0369047619047618,24.99851190476189,5,1
2,0.852,3.427,0.96,4.28,8.22393798828125,0.0917874396135265,0.8792270531400967,27.86333333333332,5,1
3,1.41,2.548,0.936,6.32,4.23797607421875,0.044776119402985,-0.5213930348258708,30.76537313432856,5,1
4,1.214,1.908,0.937,4.64,6.86749267578125,0.1038461538461538,-0.5788461538461545,21.68461538461537,5,1
5,0.928,0.547,1.09,0.9,6.86749267578125,0.1038461538461538,-0.5788461538461545,21.68461538461537,5,1
6,0.888,0.633,0.974,2.66,6.86749267578125,0.1038461538461538,-0.5788461538461545,21.68461538461537,5,1
7,0.8140000000000001,1.252,1.007,2.0,6.86749267578125,0.1038461538461538,-0.5788461538461545,21.68461538461537,5,1
8,1.016,1.042,1.055,4.62,6.86749267578125,0.1038461538461538,-0.5788461538461545,21.68461538461537,5,1
9,0.9,1.301,0.98,0.42,5.19390869140625,0.0854922279792746,-0.0010362694300517,37.108575129533655,5,1
10,1.2,1.832,0.97,3.28,7.51385498046875,0.04375,0.5512499999999998,28.636874999999986,5,1
11,1.224,0.368,1.146,2.8,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,5,1
12,1.176,0.828,1.057,3.1,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,5,0
13,1.132,1.53,1.113,2.46,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,5,0
14,1.102,0.4370000000000001,1.211,1.82,6.96258544921875,0.0769230769230769,-0.1538461538461538,125.07692307692308,5,0
15,0.916,1.757,1.04,1.7,6.89947509765625,0.1258278145695364,0.2562913907284767,20.35827814569536,5,1
16,1.274,1.503,1.038,4.98,5.60675048828125,0.1084598698481561,0.2806941431670282,29.829956616052065,5,1
17,1.232,1.546,0.933,2.24,5.60675048828125,0.1084598698481561,0.2806941431670282,29.829956616052065,5,1
18,1.084,1.429,1.06,3.16,5.07562255859375,0.097694840834248,0.2132821075740946,48.22427003293109,5,1
19,1.064,0.407,1.115,-1.4,5.63909912109375,0.08,-0.3439999999999999,50.45209999999999,5,0
20,1.092,1.308,0.974,4.74,4.20196533203125,0.0510204081632653,-0.4051020408163269,62.99897959183672,5,1
21,1.1840000000000002,0.51,1.026,2.82,6.79132080078125,0.063508064516129,-0.8259072580645178,74.15433467741981,5,1
22,1.014,0.345,1.083,-0.6,6.79132080078125,0.063508064516129,-0.8259072580645178,74.15433467741981,5,1
23,1.21,1.484,1.016,4.58,8.58111572265625,0.090543259557344,-0.4241448692152916,35.78092555331991,5,0
24,0.8220000000000001,0.11,1.157,-4.18,4.98822021484375,0.0606060606060606,-0.6154882154882153,43.38855218855217,5,1
25,1.198,2.614,0.923,4.38,4.48736572265625,0.0550918196994991,-0.6919866444073449,68.59666110183645,5,1
26,1.042,1.919,0.984,4.26,10.84393310546875,0.0257731958762886,-1.0726804123711349,22.58917525773194,5,1
27,1.158,1.927,1.045,1.72,9.00042724609375,0.056768558951965,-0.1751091703056771,49.03187772925765,5,1
28,0.92,3.008,0.88,5.22,9.94085693359375,0.0503432494279176,-1.839816933638444,79.5096109839819,5,1
29,1.008,1.37,1.079,2.36,4.43280029296875,0.0829145728643216,-0.1391959798994975,25.155804020100497,5,1
30,0.918,1.106,1.03,3.86,7.95916748046875,0.0525502318392581,-0.0913446676970636,47.92534775888735,5,1
31,0.836,0.414,1.192,-2.8,7.95916748046875,0.0525502318392581,-0.0913446676970636,47.92534775888735,5,1
32,0.952,1.006,1.002,3.34,7.95916748046875,0.0525502318392581,-0.0913446676970636,47.92534775888735,5,1
33,0.97,1.168,0.957,5.56,5.70770263671875,0.0837209302325581,-1.6088372093023255,44.21813953488371,5,1
34,0.918,0.966,1.038,1.76,5.52093505859375,0.0949720670391061,-0.5357541899441342,34.75030726256982,5,1
35,1.006,0.764,1.03,0.38,8.44757080078125,0.0983606557377049,0.1065573770491801,53.259426229508286,5,1
36,0.7979999999999999,1.368,0.974,1.54,9.22698974609375,0.0582417582417582,-0.1465934065934069,34.98583516483533,5,1
37,1.036,2.76,0.944,5.16,9.22698974609375,0.0582417582417582,-0.1465934065934069,34.98583516483533,5,1
38,1.0,1.022,1.038,-0.3,9.22698974609375,0.0582417582417582,-0.1465934065934069,34.98583516483533,5,1
39,1.26,2.465,0.88,5.04,9.22698974609375,0.0582417582417582,-0.1465934065934069,34.98583516483533,5,1
40,0.91,0.7809999999999999,1.005,0.92,9.86920166015625,0.0380952380952381,-0.9295238095238104,53.02000000000001,5,1
41,0.83,0.23,1.026,-0.56,9.86920166015625,0.0380952380952381,-0.9295238095238104,53.02000000000001,5,1
42,1.264,2.06,0.909,5.68,9.86920166015625,0.0380952380952381,-0.9295238095238104,53.02000000000001,5,1
43,0.91,0.913,1.065,0.92,9.86920166015625,0.0380952380952381,-0.9295238095238104,53.02000000000001,5,1
44,1.196,0.8320000000000001,0.957,0.16,5.48834228515625,0.070754716981132,-0.1113207547169812,47.890566037735866,5,1
45,1.324,0.428,0.906,2.62,9.55609130859375,0.1171875,-0.5199218750000001,39.36953125000001,5,1
46,1.14,2.111,0.961,3.96,8.71551513671875,0.0703125,0.0710937500000001,49.10117187499999,5,0
47,0.908,1.712,0.95,4.42,8.72991943359375,0.0560224089635854,-0.9207282913165254,46.65238095238095,5,1
48,0.8959999999999999,0.467,1.092,1.74,6.64849853515625,0.0897832817337461,0.4501547987616097,30.45049535603714,5,1
49,1.186,2.412,0.911,4.08,11.71319580078125,0.0642857142857142,-0.622857142857144,79.02714285714283,5,1
50,1.2819999999999998,1.651,0.939,4.54,11.71319580078125,0.0642857142857142,-0.622857142857144,79.02714285714283,5,1
51,0.866,1.51,0.939,2.84,8.71148681640625,0.148014440433213,0.5501805054151621,18.890649819494573,5,1
52,1.01,1.295,1.091,0.06,9.26422119140625,0.074074074074074,0.5530864197530864,31.77296296296296,5,1
53,1.212,1.789,0.976,4.02,8.41729736328125,0.0481927710843373,-0.5144578313253011,48.718072289156616,5,1
54,1.208,1.1740000000000002,0.938,4.88,5.07440185546875,0.0519480519480519,-0.2649350649350651,40.165584415584405,5,1
55,1.116,2.051,1.001,1.92,6.30938720703125,0.0802292263610315,0.0888252148997134,30.88656160458453,5,1
56,0.984,1.909,0.997,2.54,6.66546630859375,0.0510725229826353,-0.3028600612870267,56.004606741573326,5,1
57,1.13,1.232,0.925,2.7,4.95733642578125,0.1032934131736526,-0.0727544910179641,28.8694760479042,5,1
58,1.0659999999999998,1.861,1.001,4.9,7.65179443359375,0.0788804071246819,-0.124173027989822,57.98501272264634,5,1
59,0.922,0.968,1.077,-2.0,6.95880126953125,0.0630693763139453,-0.269446391030132,56.658808689558896,5,0
60,0.976,0.482,1.025,-2.78,5.63861083984375,0.0830188679245283,-0.0135849056603773,37.453792452830186,5,1
61,0.654,0.223,1.17,-1.76,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,5,0
62,0.966,0.981,1.027,1.04,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,5,0
63,0.8079999999999999,0.459,1.056,0.3,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,5,0
64,0.826,0.5720000000000001,1.068,-3.34,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,5,0
65,0.648,0.278,1.096,-1.28,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,5,0
66,1.052,1.414,1.043,2.7,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,5,0
67,1.1740000000000002,1.315,0.95,3.42,5.90179443359375,0.0680100755667506,-0.3924433249370273,39.64158690176322,5,1
68,0.8320000000000001,0.645,1.083,0.25,4.86871337890625,0.0272727272727272,0.0089090909090909,32.973090909090885,6,1
69,0.93,0.757,1.027,0.05,5.81036376953125,0.1032745591939546,-0.1438287153652394,40.27329974811083,6,1
70,0.775,0.228,1.14,-0.467,5.81036376953125,0.1032745591939546,-0.1438287153652394,40.27329974811083,6,1
71,1.225,1.5730000000000002,0.978,4.2330000000000005,5.49652099609375,0.0770842061164641,-0.5234185169669061,40.98982823628023,6,1
72,1.247,1.6269999999999998,1.043,2.333,6.34271240234375,0.1006944444444444,-0.1526041666666667,39.0305555555556,6,1
73,1.058,1.09,0.996,1.3330000000000002,9.08172607421875,0.0714285714285714,-0.0327526132404179,39.51378048780492,6,1
74,1.197,0.847,0.97,4.017,9.19207763671875,0.0991189427312775,-0.3949339207048459,55.117621145374535,6,1
75,1.133,0.608,1.117,2.483,7.45025634765625,0.0952380952380952,-0.1829931972789114,21.07959183673469,6,1
76,0.963,0.255,1.093,-0.333,6.01519775390625,0.0805772699939867,-0.3202645820805762,42.47319302465459,6,1
77,0.785,0.265,1.069,-2.6,7.56524658203125,0.0711610486891385,-0.9134831460674152,50.89999999999999,6,1
78,1.218,0.181,1.19,2.567,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,6,1
79,1.28,0.335,1.1,3.283,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,6,1
80,1.203,1.391,1.073,3.0,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,6,0
81,1.213,1.42,1.082,3.25,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,6,0
82,1.24,1.223,1.01,3.75,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,6,1
83,1.138,1.035,1.065,2.9330000000000003,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,6,0
84,1.117,0.236,1.245,1.75,6.96258544921875,0.0769230769230769,-0.1538461538461538,125.07692307692308,6,1
85,1.123,1.206,1.071,2.033,6.96258544921875,0.0769230769230769,-0.1538461538461538,125.07692307692308,6,0
86,1.315,1.783,1.028,4.067,8.53472900390625,0.0714285714285714,-0.5571428571428573,92.87857142857143,6,0
87,0.933,0.591,1.067,-0.133,4.98028564453125,0.0934579439252336,-0.4813084112149533,56.023457943925216,6,1
88,1.105,0.503,1.052,1.4,11.24456787109375,0.0871794871794871,-1.0169230769230773,54.91692307692308,6,1
89,1.128,1.038,1.029,3.533,5.60675048828125,0.1084598698481561,0.2806941431670282,29.829956616052065,6,1
90,1.135,4.992,0.92,7.382999999999999,5.60675048828125,0.1084598698481561,0.2806941431670282,29.829956616052065,6,1
91,0.752,0.147,1.185,-2.067,5.60675048828125,0.1084598698481561,0.2806941431670282,29.829956616052065,6,1
92,1.243,0.466,1.137,3.033,5.60675048828125,0.1084598698481561,0.2806941431670282,29.829956616052065,6,1
93,1.133,3.24,1.04,0.75,5.07562255859375,0.097694840834248,0.2132821075740946,48.22427003293109,6,1
94,0.852,0.551,1.121,-1.767,5.07562255859375,0.097694840834248,0.2132821075740946,48.22427003293109,6,1
95,1.033,2.494,1.055,1.317,5.07562255859375,0.097694840834248,0.2132821075740946,48.22427003293109,6,1
96,0.887,1.444,1.025,2.017,5.07562255859375,0.097694840834248,0.2132821075740946,48.22427003293109,6,1
97,0.937,1.306,1.132,0.45,5.07562255859375,0.097694840834248,0.2132821075740946,48.22427003293109,6,1
98,1.182,1.578,1.107,1.783,5.07562255859375,0.097694840834248,0.2132821075740946,48.22427003293109,6,1
99,0.7929999999999999,0.342,1.114,-1.833,4.93121337890625,0.0561797752808988,-0.0095505617977528,40.12022471910112,6,1
100,0.623,0.275,1.144,-1.683,5.81488037109375,0.0994764397905759,0.0204188481675393,52.8240837696335,6,1
